Sample	Fenestalla	Rhytistrophia	Leptostrophia	Trematospira	Leptocoelia	Hindia	Eridotrypa	Megakozlowskiella	Onychodus	Pseudodechenella	Platyorthis 	Schizophoria	Levenea	Leptaena 	Rystitrophia 	Hipparionyx	Machaeraria	Meristella	Macropleura 	Howellala 	Lyriopecten	Monotrypa 	Callotrypta 	Costispirifer	Eatonia 	Uncinulus 	Gypidula	Onychodus	Costistrophonella	Cerampora	Leioclema	Monotrypella
RHR1A 	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RHR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
RHR1C 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
RHR2A 	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0
RHR2B	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
RHR2D	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RHR3A	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHR3B	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHR3C	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHR4A	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHR4B	2	3	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHR4C	2	0	0	2	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHR4D	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHR5A	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1
RHR5B	13	0	0	0	0	0	4	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	9	2	0
RHR5C	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	2	1	0
RHR6A	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHR6B	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
RHR6C	16	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	2
